id,infection,log viral load,dose,population,strain
1,0,,2.3,mt,m
2,0,,2.3,mt,m
3,0,,2.3,mt,m
4,0,,2.3,mt,m
5,0,,2.3,mt,m
6,0,,2.3,mt,m
9,0,,3.3,mt,m
12,0,,3.3,mt,m
15,0,,3.3,mt,m
16,0,,3.3,mt,m
20,0,,4.3,mt,m
23,0,,4.3,mt,m
24,0,,4.3,mt,m
32,0,,5.3,mt,m
33,0,,2.3,mt,u
34,0,,2.3,mt,u
35,0,,2.3,mt,u
36,0,,2.3,mt,u
37,0,,2.3,mt,u
38,0,,2.3,mt,u
39,0,,2.3,mt,u
40,0,,2.3,mt,u
41,0,,3.3,mt,u
42,0,,3.3,mt,u
44,0,,3.3,mt,u
47,0,,3.3,mt,u
48,0,,3.3,mt,u
49,0,,4.3,mt,u
52,0,,4.3,mt,u
55,0,,4.3,mt,u
57,0,,5.3,mt,u
65,0,,2.3,mt,l
66,0,,2.3,mt,l
67,0,,2.3,mt,l
68,0,,2.3,mt,l
69,0,,2.3,mt,l
70,0,,2.3,mt,l
71,0,,2.3,mt,l
72,0,,2.3,mt,l
73,0,,3.3,mt,l
74,0,,3.3,mt,l
75,0,,3.3,mt,l
76,0,,3.3,mt,l
78,0,,3.3,mt,l
79,0,,3.3,mt,l
80,0,,3.3,mt,l
86,0,,4.3,mt,l
92,0,,5.3,mt,l
97,0,,2.3,ns,m
98,0,,2.3,ns,m
99,0,,2.3,ns,m
100,0,,2.3,ns,m
101,0,,2.3,ns,m
102,0,,2.3,ns,m
103,0,,2.3,ns,m
104,0,,2.3,ns,m
105,0,,3.3,ns,m
106,0,,3.3,ns,m
107,0,,3.3,ns,m
108,0,,3.3,ns,m
109,0,,3.3,ns,m
110,0,,3.3,ns,m
112,0,,3.3,ns,m
113,0,,4.3,ns,m
115,0,,4.3,ns,m
117,0,,4.3,ns,m
118,0,,4.3,ns,m
119,0,,4.3,ns,m
120,0,,4.3,ns,m
121,0,,5.3,ns,m
124,0,,5.3,ns,m
127,0,,5.3,ns,m
129,0,,2.3,ns,u
130,0,,2.3,ns,u
131,0,,2.3,ns,u
132,0,,2.3,ns,u
133,0,,2.3,ns,u
134,0,,2.3,ns,u
135,0,,2.3,ns,u
136,0,,2.3,ns,u
137,0,,3.3,ns,u
138,0,,3.3,ns,u
140,0,,3.3,ns,u
141,0,,3.3,ns,u
142,0,,3.3,ns,u
143,0,,3.3,ns,u
144,0,,3.3,ns,u
148,0,,4.3,ns,u
149,0,,4.3,ns,u
150,0,,4.3,ns,u
152,0,,4.3,ns,u
156,0,,5.3,ns,u
161,0,,2.3,ns,l
162,0,,2.3,ns,l
163,0,,2.3,ns,l
164,0,,2.3,ns,l
165,0,,2.3,ns,l
166,0,,2.3,ns,l
167,0,,2.3,ns,l
168,0,,2.3,ns,l
169,0,,3.3,ns,l
170,0,,3.3,ns,l
171,0,,3.3,ns,l
172,0,,3.3,ns,l
173,0,,3.3,ns,l
174,0,,3.3,ns,l
176,0,,3.3,ns,l
177,0,,4.3,ns,l
178,0,,4.3,ns,l
180,0,,4.3,ns,l
181,0,,4.3,ns,l
182,0,,4.3,ns,l
183,0,,4.3,ns,l
184,0,,4.3,ns,l
193,0,,2.3,pr,m
194,0,,2.3,pr,m
195,0,,2.3,pr,m
196,0,,2.3,pr,m
197,0,,2.3,pr,m
198,0,,2.3,pr,m
199,0,,2.3,pr,m
200,0,,2.3,pr,m
201,0,,3.3,pr,m
202,0,,3.3,pr,m
204,0,,3.3,pr,m
205,0,,3.3,pr,m
206,0,,3.3,pr,m
207,0,,3.3,pr,m
208,0,,3.3,pr,m
211,0,,4.3,pr,m
215,0,,4.3,pr,m
224,0,,5.3,pr,m
225,0,,2.3,pr,u
226,0,,2.3,pr,u
227,0,,2.3,pr,u
228,0,,2.3,pr,u
229,0,,2.3,pr,u
230,0,,2.3,pr,u
231,0,,2.3,pr,u
232,0,,2.3,pr,u
233,0,,3.3,pr,u
234,0,,3.3,pr,u
235,0,,3.3,pr,u
236,0,,3.3,pr,u
237,0,,3.3,pr,u
238,0,,3.3,pr,u
239,0,,3.3,pr,u
240,0,,3.3,pr,u
241,0,,4.3,pr,u
244,0,,4.3,pr,u
246,0,,4.3,pr,u
247,0,,4.3,pr,u
248,0,,4.3,pr,u
249,0,,5.3,pr,u
250,0,,5.3,pr,u
257,0,,2.3,pr,l
258,0,,2.3,pr,l
259,0,,2.3,pr,l
260,0,,2.3,pr,l
261,0,,2.3,pr,l
262,0,,2.3,pr,l
263,0,,2.3,pr,l
264,0,,2.3,pr,l
265,0,,3.3,pr,l
266,0,,3.3,pr,l
267,0,,3.3,pr,l
268,0,,3.3,pr,l
269,0,,3.3,pr,l
271,0,,3.3,pr,l
272,0,,3.3,pr,l
273,0,,4.3,pr,l
278,0,,4.3,pr,l
289,0,,2.3,cw,m
290,0,,2.3,cw,m
291,0,,2.3,cw,m
292,0,,2.3,cw,m
293,0,,2.3,cw,m
294,0,,2.3,cw,m
295,0,,2.3,cw,m
296,0,,2.3,cw,m
297,0,,3.3,cw,m
298,0,,3.3,cw,m
299,0,,3.3,cw,m
300,0,,3.3,cw,m
301,0,,3.3,cw,m
303,0,,3.3,cw,m
309,0,,4.3,cw,m
311,0,,4.3,cw,m
312,0,,4.3,cw,m
314,0,,5.3,cw,m
315,0,,5.3,cw,m
316,0,,5.3,cw,m
321,0,,2.3,cw,u
322,0,,2.3,cw,u
323,0,,2.3,cw,u
324,0,,2.3,cw,u
325,0,,2.3,cw,u
326,0,,2.3,cw,u
327,0,,2.3,cw,u
328,0,,2.3,cw,u
329,0,,3.3,cw,u
330,0,,3.3,cw,u
331,0,,3.3,cw,u
332,0,,3.3,cw,u
333,0,,3.3,cw,u
334,0,,3.3,cw,u
336,0,,3.3,cw,u
337,0,,4.3,cw,u
338,0,,4.3,cw,u
340,0,,4.3,cw,u
342,0,,4.3,cw,u
344,0,,4.3,cw,u
345,0,,5.3,cw,u
346,0,,5.3,cw,u
349,0,,5.3,cw,u
353,0,,2.3,cw,l
354,0,,2.3,cw,l
355,0,,2.3,cw,l
356,0,,2.3,cw,l
357,0,,2.3,cw,l
358,0,,2.3,cw,l
